method,path,file,line
PUT,/api/v2/staff/{email}/evaluators,backend/fastapi_app.py,5247
GET,/api/v2/staff/{email}/evaluators,backend/fastapi_app.py,5287
GET,/api/v2/evaluation-matrix/{cycle_id},backend/fastapi_app.py,5325
GET,/api/v2/staff/{email}/evaluation-status,backend/fastapi_app.py,5344
POST,/api/v2/import/staff,backend/fastapi_app.py,5418
POST,/api/v2/import/eom-voters,backend/fastapi_app.py,5442
POST,/api/v2/import/eom-candidates,backend/fastapi_app.py,5472
POST,/api/v2/import/weight-matrix,backend/fastapi_app.py,5495
GET,/api/v2/analytics/participation/{cycle_id},backend/fastapi_app.py,5520
GET,/api/v2/eom/hall-of-fame,backend/fastapi_app.py,5553
GET,/api/v2/eom/diversity-tracking,backend/fastapi_app.py,5588
POST,/api/v2/eom/feedback,backend/fastapi_app.py,5620
GET,/api/v2/eom/cycles/{cycle_id}/window-status,backend/fastapi_app.py,5649
GET,/,backend/fastapi_app.py,5675
